"first_img"	"inquisition_img"	"doc_date"	"parish"	"the_deceased"	"given"	"surname"	"gender"	"verdict"	"cause_of_death"	"deceased_additional_info"	"has_depositions"	"lonlives_url"	"lonlives_document_ref"	"source"
"WACWIC652000002"	"WACWIC652000003"	"1760-02-14"	"St Martin in the Fields"	"Joseph Bladzen"	"Joseph"	"Bladzen"	"m"	"suicide (insane)"	"hanged himself"	""	""	"https://www.londonlives.org/browse.jsp?div=WACWIC652000002"	"WACWIC65200"	"Westminster Coroners' Inquests, 1760, Westminster Abbey Muniment Room"
"WACWIC652000004"	"WACWIC652000005"	"1760-02-18"	"St John the Evangelist"	"John Ryall"	"John"	"Ryall"	"m"	"suicide (insane)"	"drowned"	""	""	"https://www.londonlives.org/browse.jsp?div=WACWIC652000004"	"WACWIC65200"	"Westminster Coroners' Inquests, 1760, Westminster Abbey Muniment Room"
"WACWIC652000006"	"WACWIC652000007"	"1760-02-28"	"St James"	"Martha Strong"	"Martha"	"Strong"	"f"	"suicide (insane)"	"hanged herself"	""	""	"https://www.londonlives.org/browse.jsp?div=WACWIC652000006"	"WACWIC65200"	"Westminster Coroners' Inquests, 1760, Westminster Abbey Muniment Room"
"WACWIC652000008"	"WACWIC652000009"	"1760-03-10"	"St Margaret"	"Unnamed woman"	""	""	"f"	"accidental"	"drowned"	""	""	"https://www.londonlives.org/browse.jsp?div=WACWIC652000008"	"WACWIC65200"	"Westminster Coroners' Inquests, 1760, Westminster Abbey Muniment Room"
"WACWIC652000010"	"WACWIC652000011"	"1760-03-13"	"St George Hanover Square"	"Unnamed woman"	""	""	"f"	"accidental"	"drowned"	""	""	"https://www.londonlives.org/browse.jsp?div=WACWIC652000010"	"WACWIC65200"	"Westminster Coroners' Inquests, 1760, Westminster Abbey Muniment Room"
"WACWIC652000012"	"WACWIC652000013"	"1760-03-17"	"St George Hanover Square"	"Unnamed female child"	""	""	"f"	"natural causes"	"still born"	"new born child"	""	"https://www.londonlives.org/browse.jsp?div=WACWIC652000012"	"WACWIC65200"	"Westminster Coroners' Inquests, 1760, Westminster Abbey Muniment Room"
"WACWIC652000014"	"WACWIC652000015"	"1760-03-29"	"St Martin in the Fields"	"James Nugent"	"James"	"Nugent"	"m"	"accidental"	"fell from stairs"	""	""	"https://www.londonlives.org/browse.jsp?div=WACWIC652000014"	"WACWIC65200"	"Westminster Coroners' Inquests, 1760, Westminster Abbey Muniment Room"
"WACWIC652000016"	"WACWIC652000017"	"1760-04-17"	"St Margaret"	"Unnamed man"	""	""	"m"	"natural causes"	"ancient and weak in body"	""	""	"https://www.londonlives.org/browse.jsp?div=WACWIC652000016"	"WACWIC65200"	"Westminster Coroners' Inquests, 1760, Westminster Abbey Muniment Room"
"WACWIC652000018"	"WACWIC652000019"	"1760-05-02"	"St George Hanover Square"	"Unnamed man"	""	""	"m"	"suicide (insane)"	"drowned"	""	""	"https://www.londonlives.org/browse.jsp?div=WACWIC652000018"	"WACWIC65200"	"Westminster Coroners' Inquests, 1760, Westminster Abbey Muniment Room"
"WACWIC652000020"	"WACWIC652000022"	"1760-05-21"	"St George Hanover Square"	"William Robinson"	"William"	"Robinson"	"m"	"homicide"	"stabbed/sword cut in the wrist"	""	""	"https://www.londonlives.org/browse.jsp?div=WACWIC652000020"	"WACWIC65200"	"Westminster Coroners' Inquests, 1760, Westminster Abbey Muniment Room"
"WACWIC652000023"	"WACWIC652000024"	"1760-06-02"	"St John the Evangelist"	"Samuel Coast"	"Samuel"	"Coast"	"m"	"accidental"	"drowned"	""	""	"https://www.londonlives.org/browse.jsp?div=WACWIC652000023"	"WACWIC65200"	"Westminster Coroners' Inquests, 1760, Westminster Abbey Muniment Room"
"WACWIC652000025"	"WACWIC652000026"	"1760-06-06"	"St Martin in the Fields"	"Ann Burchell"	"Ann"	"Burchell"	"f"	"accidental"	"fell from a house"	""	""	"https://www.londonlives.org/browse.jsp?div=WACWIC652000025"	"WACWIC65200"	"Westminster Coroners' Inquests, 1760, Westminster Abbey Muniment Room"
"WACWIC652000027"	"WACWIC652000028"	"1760-07-03"	"St Anne Soho"	"Alexander Bean"	"Alexander"	"Bean"	"m"	"natural causes"	"inflammation of the lungs"	""	""	"https://www.londonlives.org/browse.jsp?div=WACWIC652000027"	"WACWIC65200"	"Westminster Coroners' Inquests, 1760, Westminster Abbey Muniment Room"
"WACWIC652000029"	"WACWIC652000030"	"1760-07-14"	"St George Hanover Square"	"Richard Bond"	"Richard"	"Bond"	"m"	"suicide (insane)"	"hanged himself"	""	""	"https://www.londonlives.org/browse.jsp?div=WACWIC652000029"	"WACWIC65200"	"Westminster Coroners' Inquests, 1760, Westminster Abbey Muniment Room"
"WACWIC652000031"	"WACWIC652000032"	"1760-07-22"	"Whitehall"	"Benjamin Robinson"	"Benjamin"	"Robinson"	"m"	"accidental"	"fell from a house"	""	""	"https://www.londonlives.org/browse.jsp?div=WACWIC652000031"	"WACWIC65200"	"Westminster Coroners' Inquests, 1760, Westminster Abbey Muniment Room"
"WACWIC652000033"	"WACWIC652000034"	"1760-07-24"	"St Martin in the Fields"	"Hugh Saunders"	"Hugh"	"Saunders"	"m"	"accidental"	"fell from a house"	""	""	"https://www.londonlives.org/browse.jsp?div=WACWIC652000033"	"WACWIC65200"	"Westminster Coroners' Inquests, 1760, Westminster Abbey Muniment Room"
"WACWIC652000035"	"WACWIC652000036"	"1760-07-28"	"Whitehall"	"Ann Cox"	"Ann"	"Cox"	"f"	"natural causes"	"a suffocation occasioned by a sudden fit(?) of passion"	""	""	"https://www.londonlives.org/browse.jsp?div=WACWIC652000035"	"WACWIC65200"	"Westminster Coroners' Inquests, 1760, Westminster Abbey Muniment Room"
"WACWIC652000037"	"WACWIC652000038"	"1760-07-29"	"St James"	"Unnamed male child"	""	""	"m"	"natural causes"	"still born"	"new born child"	""	"https://www.londonlives.org/browse.jsp?div=WACWIC652000037"	"WACWIC65200"	"Westminster Coroners' Inquests, 1760, Westminster Abbey Muniment Room"
"WACWIC652000039"	"WACWIC652000040"	"1760-08-04"	"St Margaret"	"Thomas Grant"	"Thomas"	"Grant"	"m"	"suicide (insane)"	"shot himself"	""	""	"https://www.londonlives.org/browse.jsp?div=WACWIC652000039"	"WACWIC65200"	"Westminster Coroners' Inquests, 1760, Westminster Abbey Muniment Room"
"WACWIC652000041"	"WACWIC652000042"	"1760-08-06"	"St George Hanover Square"	"Sarah Tomes"	"Sarah"	"Tomes"	"f"	"suicide (insane)"	"hanged herself"	""	""	"https://www.londonlives.org/browse.jsp?div=WACWIC652000041"	"WACWIC65200"	"Westminster Coroners' Inquests, 1760, Westminster Abbey Muniment Room"
"WACWIC652000043"	"WACWIC652000044"	"1760-08-19"	"St James"	"Elizabeth Blanchard"	"Elizabeth"	"Blanchard"	"f"	"suicide (insane)"	"hanged herself"	""	""	"https://www.londonlives.org/browse.jsp?div=WACWIC652000043"	"WACWIC65200"	"Westminster Coroners' Inquests, 1760, Westminster Abbey Muniment Room"
"WACWIC652000045"	"WACWIC652000046"	"1760-08-26"	"St John the Evangelist"	"Richard Mills"	"Richard"	"Mills"	"m"	"accidental"	"drowned"	""	""	"https://www.londonlives.org/browse.jsp?div=WACWIC652000045"	"WACWIC65200"	"Westminster Coroners' Inquests, 1760, Westminster Abbey Muniment Room"
"WACWIC652000047"	"WACWIC652000048"	"1760-09-10"	"St George Hanover Square"	"Hannah Cockshaw"	"Hannah"	"Cockshaw"	"f"	"suicide (insane)"	"hanged herself"	""	""	"https://www.londonlives.org/browse.jsp?div=WACWIC652000047"	"WACWIC65200"	"Westminster Coroners' Inquests, 1760, Westminster Abbey Muniment Room"
"WACWIC652000049"	"WACWIC652000050"	"1760-09-11"	"St Martin in the Fields"	"Frederick Neunberg"	"Frederick"	"Neunberg"	"m"	"suicide (insane)"	"shot himself"	""	""	"https://www.londonlives.org/browse.jsp?div=WACWIC652000049"	"WACWIC65200"	"Westminster Coroners' Inquests, 1760, Westminster Abbey Muniment Room"
"WACWIC652000051"	"WACWIC652000052"	"1760-09-17"	"St Martin in the Fields"	"Katherine Plunkett"	"Katherine"	"Plunkett"	"f"	"suicide (insane)"	"hanged herself"	""	""	"https://www.londonlives.org/browse.jsp?div=WACWIC652000051"	"WACWIC65200"	"Westminster Coroners' Inquests, 1760, Westminster Abbey Muniment Room"
"WACWIC652000053"	"WACWIC652000054"	"1760-10-07"	"St George Hanover Square"	"Unnamed male child"	""	""	"m"	"homicide"	"drowned"	"child"	""	"https://www.londonlives.org/browse.jsp?div=WACWIC652000053"	"WACWIC65200"	"Westminster Coroners' Inquests, 1760, Westminster Abbey Muniment Room"
"WACWIC652000055"	"WACWIC652000056"	"1760-10-10"	"St Paul Covent Garden"	"William Norman"	"William"	"Norman"	"m"	"suicide (insane)"	"hanged himself"	""	""	"https://www.londonlives.org/browse.jsp?div=WACWIC652000055"	"WACWIC65200"	"Westminster Coroners' Inquests, 1760, Westminster Abbey Muniment Room"
"WACWIC652000057"	"WACWIC652000058"	"1760-11-03"	"St Paul Covent Garden"	"Ann Macomett"	"Ann"	"Macomett"	"f"	"accidental"	"fell down stairs"	""	""	"https://www.londonlives.org/browse.jsp?div=WACWIC652000057"	"WACWIC65200"	"Westminster Coroners' Inquests, 1760, Westminster Abbey Muniment Room"
"WACWIC652000059"	"WACWIC652000060"	"1760-12-19"	"St Paul Covent Garden"	"Jacob Moody"	"Jacob"	"Moody"	"m"	"accidental"	"intoxication"	""	""	"https://www.londonlives.org/browse.jsp?div=WACWIC652000059"	"WACWIC65200"	"Westminster Coroners' Inquests, 1760, Westminster Abbey Muniment Room"
"WACWIC652000061"	"WACWIC652000062"	"1760-12-30"	"St James"	"Unnamed woman"	""	""	"f"	"natural causes"	""	""	""	"https://www.londonlives.org/browse.jsp?div=WACWIC652000061"	"WACWIC65200"	"Westminster Coroners' Inquests, 1760, Westminster Abbey Muniment Room"
"WACWIC652000063"	"WACWIC652000064"	"1760-12-31"	"St Martin in the Fields"	"Thomas Stanbridge"	"Thomas"	"Stanbridge"	"m"	"natural causes"	""	""	""	"https://www.londonlives.org/browse.jsp?div=WACWIC652000063"	"WACWIC65200"	"Westminster Coroners' Inquests, 1760, Westminster Abbey Muniment Room"
"WACWIC652010002"	"WACWIC652010003"	"1761-01-03"	"St George Hanover Square"	"Mary Jaques"	"Mary"	"Jaques"	"f"	"natural causes"	"died after giving birth"	""	""	"https://www.londonlives.org/browse.jsp?div=WACWIC652010002"	"WACWIC65201"	"Westminster Coroners' Inquests, 1761, Westminster Abbey Muniment Room"
"WACWIC652010005"	"WACWIC652010005"	"1761-01-21"	"St James"	"John Chambers"	"John"	"Chambers"	"m"	"suicide (insane)"	"hanged himself"	""	""	"https://www.londonlives.org/browse.jsp?div=WACWIC652010005"	"WACWIC65201"	"Westminster Coroners' Inquests, 1761, Westminster Abbey Muniment Room"
"WACWIC652010006"	"WACWIC652010007"	"1761-02-16"	"St James"	"Thomas Ellis"	"Thomas"	"Ellis"	"m"	"natural causes"	"fever"	""	""	"https://www.londonlives.org/browse.jsp?div=WACWIC652010006"	"WACWIC65201"	"Westminster Coroners' Inquests, 1761, Westminster Abbey Muniment Room"
"WACWIC652010008"	"WACWIC652010009"	"1761-02-21"	"St John the Evangelist"	"Unnamed man"	""	""	"m"	"accidental"	"drowned"	""	""	"https://www.londonlives.org/browse.jsp?div=WACWIC652010008"	"WACWIC65201"	"Westminster Coroners' Inquests, 1761, Westminster Abbey Muniment Room"
